crim,dust,reservation,distance,like,review,price
2.81838,0.532,5.762,4.0983,392.92,24.58,39240
2.37857,0.583,5.871,3.724,370.73,21.66,37080
3.67367,0.583,6.312,3.9917,388.62,24.42,38160
5.69175,0.583,6.114,3.5459,392.68,20.02,34380
4.83567,0.583,5.905,3.1523,388.22,23.55,37080
0.15086,0.609,5.454,1.8209,395.09,16.94,27360
0.18337,0.609,5.414,1.7554,344.05,11.03,12600
0.20746,0.609,5.093,1.8226,318.43,5.32,14580
0.10574,0.609,5.983,1.8681,390.11,16.93,24480
0.11132,0.609,5.983,2.1099,396.9,21.65,36180
0.17331,0.585,5.707,2.3817,396.9,22.99,39240
0.27957,0.585,5.926,2.3817,396.9,21.41,44100
0.17899,0.585,5.67,2.7986,393.29,17.4,41580
0.2896,0.585,5.39,2.7986,396.9,13.86,35460
0.26838,0.585,5.794,2.8927,396.9,20.9,32940
0.23912,0.585,6.019,2.4091,396.9,22.08,38160
0.17783,0.585,5.569,2.3999,395.77,19.9,31500
0.22438,0.585,6.027,2.4982,396.9,20.67,30240
0.06263,0.573,6.593,2.4786,391.99,25.33,40320
0.04527,0.573,6.12,2.2875,396.9,25.92,37080
0.06076,0.573,6.976,2.1675,396.9,29.36,43020
0.10959,0.573,6.794,2.3889,393.45,28.52,39600
0.04741,0.573,6.03,2.505,396.9,27.12,21420
